#,このファイルは毎木データのエラーチェックに使う各調査区のmesh_xcord/mesh_ycordの組み合わせのリストです。,
plotid,mesh_xcord,mesh_ycord
AU-DB1,40,10
AU-DB1,40,20
AU-DB1,40,30
AU-DB1,40,40
AU-DB1,40,50
AU-DB1,40,60
AU-DB1,40,70
AU-DB1,40,80
AU-DB1,40,90
AU-DB1,50,0
AU-DB1,50,10
AU-DB1,50,20
AU-DB1,50,30
AU-DB1,50,40
AU-DB1,50,50
AU-DB1,50,60
AU-DB1,50,70
AU-DB1,50,80
AU-DB1,50,90
AU-DB1,60,0
AU-DB1,60,10
AU-DB1,60,20
AU-DB1,60,30
AU-DB1,60,40
AU-DB1,60,50
AU-DB1,60,60
AU-DB1,60,70
AU-DB1,60,80
AU-DB1,60,90
AU-DB1,70,0
AU-DB1,70,10
AU-DB1,70,20
AU-DB1,70,30
AU-DB1,70,40
AU-DB1,70,50
AU-DB1,70,60
AU-DB1,70,70
AU-DB1,70,80
AU-DB1,70,90
AU-DB1,80,0
AU-DB1,80,10
AU-DB1,80,20
AU-DB1,80,30
AU-DB1,80,40
AU-DB1,80,50
AU-DB1,80,60
AU-DB1,80,70
AU-DB1,80,80
AU-DB1,80,90
AU-DB1,90,0
AU-DB1,90,10
AU-DB1,90,20
AU-DB1,90,30
AU-DB1,90,40
AU-DB1,90,50
AU-DB1,90,60
AU-DB1,90,70
AU-DB1,90,80
AU-DB1,90,90
AU-EC1,0,0
AU-EC1,0,10
AU-EC1,0,20
AU-EC1,0,30
AU-EC1,0,40
AU-EC1,0,50
AU-EC1,0,60
AU-EC1,0,70
AU-EC1,0,80
AU-EC1,0,90
AU-EC1,10,0
AU-EC1,10,10
AU-EC1,10,20
AU-EC1,10,30
AU-EC1,10,40
AU-EC1,10,50
AU-EC1,10,60
AU-EC1,10,70
AU-EC1,10,80
AU-EC1,10,90
AU-EC1,20,0
AU-EC1,20,10
AU-EC1,20,20
AU-EC1,20,30
AU-EC1,20,40
AU-EC1,20,50
AU-EC1,20,60
AU-EC1,20,70
AU-EC1,20,80
AU-EC1,20,90
AU-EC1,30,0
AU-EC1,30,10
AU-EC1,30,20
AU-EC1,30,30
AU-EC1,30,40
AU-EC1,30,50
AU-EC1,30,60
AU-EC1,30,70
AU-EC1,30,80
AU-EC1,30,90
AU-EC1,40,0
AU-EC1,40,10
AU-EC1,40,20
AU-EC1,40,30
AU-EC1,40,40
AU-EC1,40,50
AU-EC1,40,60
AU-EC1,40,70
AU-EC1,40,80
AU-EC1,40,90
AU-EC1,50,0
AU-EC1,50,10
AU-EC1,50,20
AU-EC1,50,30
AU-EC1,50,40
AU-EC1,50,50
AU-EC1,50,60
AU-EC1,50,70
AU-EC1,50,80
AU-EC1,50,90
AU-EC1,60,0
AU-EC1,60,10
AU-EC1,60,20
AU-EC1,60,30
AU-EC1,60,40
AU-EC1,60,50
AU-EC1,60,60
AU-EC1,60,70
AU-EC1,60,80
AU-EC1,60,90
AU-EC1,70,0
AU-EC1,70,10
AU-EC1,70,20
AU-EC1,70,30
AU-EC1,70,40
AU-EC1,70,50
AU-EC1,70,60
AU-EC1,70,70
AU-EC1,70,80
AU-EC1,70,90
AU-EC1,80,0
AU-EC1,80,10
AU-EC1,80,20
AU-EC1,80,30
AU-EC1,80,40
AU-EC1,80,50
AU-EC1,80,60
AU-EC1,80,70
AU-EC1,80,80
AU-EC1,80,90
AU-EC1,90,0
AU-EC1,90,10
AU-EC1,90,20
AU-EC1,90,30
AU-EC1,90,40
AU-EC1,90,50
AU-EC1,90,60
AU-EC1,90,70
AU-EC1,90,80
AU-EC1,90,90
AY-EB1,0,0
AY-EB1,0,10
AY-EB1,0,20
AY-EB1,0,30
AY-EB1,0,40
AY-EB1,0,50
AY-EB1,0,60
AY-EB1,0,70
AY-EB1,0,80
AY-EB1,0,90
AY-EB1,10,0
AY-EB1,10,10
AY-EB1,10,20
AY-EB1,10,30
AY-EB1,10,40
AY-EB1,10,50
AY-EB1,10,60
AY-EB1,10,70
AY-EB1,10,80
AY-EB1,10,90
AY-EB1,20,0
AY-EB1,20,10
AY-EB1,20,20
AY-EB1,20,30
AY-EB1,20,40
AY-EB1,20,50
AY-EB1,20,60
AY-EB1,20,70
AY-EB1,20,80
AY-EB1,20,90
AY-EB1,30,0
AY-EB1,30,10
AY-EB1,30,20
AY-EB1,30,30
AY-EB1,30,40
AY-EB1,30,50
AY-EB1,30,60
AY-EB1,30,70
AY-EB1,30,80
AY-EB1,30,90
AY-EB1,40,0
AY-EB1,40,10
AY-EB1,40,20
AY-EB1,40,30
AY-EB1,40,40
AY-EB1,40,50
AY-EB1,40,60
AY-EB1,40,70
AY-EB1,40,80
AY-EB1,40,90
AY-EB1,50,0
AY-EB1,50,10
AY-EB1,50,20
AY-EB1,50,30
AY-EB1,50,40
AY-EB1,50,50
AY-EB1,50,60
AY-EB1,50,70
AY-EB1,50,80
AY-EB1,50,90
AY-EB1,60,0
AY-EB1,60,10
AY-EB1,60,20
AY-EB1,60,30
AY-EB1,60,40
AY-EB1,60,50
AY-EB1,60,60
AY-EB1,60,70
AY-EB1,60,80
AY-EB1,60,90
AY-EB1,70,0
AY-EB1,70,10
AY-EB1,70,20
AY-EB1,70,30
AY-EB1,70,40
AY-EB1,70,50
AY-EB1,70,60
AY-EB1,70,70
AY-EB1,70,80
AY-EB1,70,90
AY-EB1,80,0
AY-EB1,80,10
AY-EB1,80,20
AY-EB1,80,30
AY-EB1,80,40
AY-EB1,80,50
AY-EB1,80,60
AY-EB1,80,70
AY-EB1,80,80
AY-EB1,80,90
AY-EB1,90,0
AY-EB1,90,10
AY-EB1,90,20
AY-EB1,90,30
AY-EB1,90,40
AY-EB1,90,50
AY-EB1,90,60
AY-EB1,90,70
AY-EB1,90,80
AY-EB1,90,90
CC-DB1,0,0
CC-DB1,0,25
CC-DB1,0,50
CC-DB1,0,75
CC-DB1,25,0
CC-DB1,25,25
CC-DB1,25,50
CC-DB1,25,75
CC-DB1,50,0
CC-DB1,50,25
CC-DB1,50,50
CC-DB1,50,75
CC-DB1,75,0
CC-DB1,75,25
CC-DB1,75,50
CC-DB1,75,75
CC-DB2,0,0
CC-DB2,0,10
CC-DB2,0,20
CC-DB2,0,30
CC-DB2,10,0
CC-DB2,10,10
CC-DB2,10,20
CC-DB2,10,30
CC-DB2,20,0
CC-DB2,20,10
CC-DB2,20,20
CC-DB2,20,30
DI-DB1,0,0
DI-DB1,0,10
DI-DB1,0,20
DI-DB1,0,30
DI-DB1,0,40
DI-DB1,0,50
DI-DB1,0,60
DI-DB1,0,70
DI-DB1,0,80
DI-DB1,0,90
DI-DB1,10,0
DI-DB1,10,10
DI-DB1,10,30
DI-DB1,10,40
DI-DB1,10,50
DI-DB1,10,60
DI-DB1,10,70
DI-DB1,10,80
DI-DB1,10,90
DI-DB1,20,0
DI-DB1,20,10
DI-DB1,20,20
DI-DB1,20,30
DI-DB1,20,40
DI-DB1,20,50
DI-DB1,20,60
DI-DB1,20,70
DI-DB1,20,80
DI-DB1,20,90
DI-DB1,30,0
DI-DB1,30,10
DI-DB1,30,20
DI-DB1,30,30
DI-DB1,30,40
DI-DB1,30,50
