name_jp,name_jp_std,name_greenlist,match_type,status,name_gbif_accepted,species,genus,family,order,species_jp,family_jp,order_jp,categ,categ2,categ3,categ4,categ5,categ6,fruit_type,remarks
キブシ,,Stachyurus praecox Siebold et Zucc. var. praecox,EXACT,accepted,Stachyurus praecox var. praecox,Stachyurus praecox var. praecox,Stachyurus,Stachyuraceae,Crossosomatales,キブシ,キブシ科,クロッソソマ目,4,4,1,4,4,3,液果,use gbif name
ミツバウツギ,,Staphylea bumalda DC.,EXACT,accepted,Staphylea bumalda DC.,Staphylea bumalda,Staphylea,Staphyleaceae,Crossosomatales,ミツバウツギ,ミツバウツギ科,クロッソソマ目,4,4,1,4,4,3,さく果,use gbif name
リュウキュウカラスウリ,,Trichosanthes miyagii Hayata,EXACT,accepted,Trichosanthes miyagii Hayata,Trichosanthes miyagii,Trichosanthes,Cucurbitaceae,Cucurbitales,リュウキュウカラスウリ,ウリ科,ウリ目,,,1,,6,3,,use gbif name
スズメウリ,,Zehneria japonica (Thunb.) H.Y.Liu,EXACT,accepted,Zehneria japonica (Thunb.) H.Y.Liu,Zehneria japonica,Zehneria,Cucurbitaceae,Cucurbitales,スズメウリ,ウリ科,ウリ目,,,1,,6,3,,use gbif name
ウリ科,,Cucurbitaceae sp.,HIGHERRANK,accepted,Cucurbitaceae,Cucurbitaceae sp.,,Cucurbitaceae,Cucurbitales,ウリ科,ウリ科,ウリ目,,,,,,3,,not found in GreenList; not found in YList
ヤマノイモ,,Dioscorea japonica Thunb.,EXACT,accepted,Dioscorea japonica Thunb.,Dioscorea japonica,Dioscorea,Dioscoreaceae,Dioscoreales,ヤマノイモ,ヤマノイモ科,ヤマノイモ目,,,1,,6,3,,use gbif name
エゾニワトコ,,Sambucus racemosa L. subsp. kamtschatica (E.Wolf) Hultén,EXACT,accepted,Sambucus racemosa subsp. kamtschatica (E.Wolf) Hultén,Sambucus racemosa  subsp. kamtschatica,Sambucus,Adoxaceae,Dipsacales,エゾニワトコ,レンプクソウ科,マツムシソウ目,,,1,,4,3,核果,use gbif name
ニワトコ,,Sambucus racemosa L. subsp. sieboldiana (Miq.) H.Hara var. sieboldiana,EXACT,synonym,Sambucus racemosa subsp. sieboldiana (Bl. ex Miq.) Hara,Sambucus racemosa subsp. sieboldiana var. sieboldiana,Sambucus,Adoxaceae,Dipsacales,ニワトコ,レンプクソウ科,マツムシソウ目,4,4,1,4,4,3,核果,use greenlist name
ガマズミ,,Viburnum dilatatum Thunb.,EXACT,accepted,Viburnum dilatatum Thunb.,Viburnum dilatatum,Viburnum,Adoxaceae,Dipsacales,ガマズミ,レンプクソウ科,マツムシソウ目,4,4,1,4,4,3,核果,use gbif name
コバノガマズミ,,Viburnum erosum Thunb. var. erosum,EXACT,synonym,Viburnum erosum Thunb.,Viburnum erosum,Viburnum,Adoxaceae,Dipsacales,コバノガマズミ,レンプクソウ科,マツムシソウ目,4,4,1,4,4,3,核果,use gbif name
オオカメノキ,,Viburnum furcatum Blume ex Maxim.,EXACT,accepted,Viburnum furcatum Blume ex Hook.f. & Thomson,Viburnum furcatum,Viburnum,Adoxaceae,Dipsacales,オオカメノキ,レンプクソウ科,マツムシソウ目,4,4,1,4,4,3,核果,use gbif name
サンゴジュ,,Viburnum odoratissimum Ker Gawl. var. awabuki (K.Koch) Zabel,EXACT,accepted,Viburnum odoratissimum var. awabuki (K.Koch) Zabel,Viburnum odoratissimum var. awabuki,Viburnum,Adoxaceae,Dipsacales,サンゴジュ,レンプクソウ科,マツムシソウ目,4,4,1,5,5,3,,use gbif name
ミヤマガマズミ,,Viburnum wrightii Miq. var. wrightii,HIGHERRANK,accepted,Viburnum wrightii Miq.,Viburnum wrightii var. wrightii,Viburnum,Adoxaceae,Dipsacales,ミヤマガマズミ,レンプクソウ科,マツムシソウ目,4,4,1,4,4,3,液果,use greenlist name
ヤマウグイスカグラ,,Lonicera gracilipes Miq. var. gracilipes,EXACT,accepted,Lonicera gracilipes var. gracilipes,Lonicera gracilipes  var. gracilipes,Lonicera,Caprifoliaceae,Dipsacales,ヤマウグイスカグラ,スイカズラ科,マツムシソウ目,,,1,,4,3,液果,use gbif name
キダチニンドウ,,Lonicera hypoglauca Miq.,EXACT,accepted,Lonicera hypoglauca Miq.,Lonicera hypoglauca,Lonicera,Caprifoliaceae,Dipsacales,キダチニンドウ,スイカズラ科,マツムシソウ目,,,1,,5,3,液果,use gbif name
スイカズラ,,Lonicera japonica Thunb.,EXACT,accepted,Lonicera japonica Thunb.,Lonicera japonica,Lonicera,Caprifoliaceae,Dipsacales,スイカズラ,スイカズラ科,マツムシソウ目,,,1,,4,3,液果,use gbif name
サルナシ,,Actinidia arguta (Siebold et Zucc.) Planch. ex Miq. var. arguta,EXACT,accepted,Actinidia arguta var. arguta,Actinidia arguta var. arguta,Actinidia,Actinidiaceae,Ericales,サルナシ,マタタビ科,ツツジ目,4,4,1,4,4,3,液果,use gbif name
マタタビ,,Actinidia polygama (Siebold et Zucc.) Planch. ex Maxim.,EXACT,accepted,Actinidia polygama (Siebold & Zucc.) Maxim.,Actinidia polygama,Actinidia,Actinidiaceae,Ericales,マタタビ,マタタビ科,ツツジ目,4,4,1,4,4,3,液果,use gbif name
シマサルナシ,,Actinidia rufa (Siebold et Zucc.) Planch. ex Miq.,EXACT,accepted,Actinidia rufa (Sieb. & Zucc.) Planch. ex Miq.,Actinidia rufa,Actinidia,Actinidiaceae,Ericales,シマサルナシ,マタタビ科,ツツジ目,4,4,1,4,4,3,液果,use gbif name
マタタビ属,,Actinidia sp,HIGHERRANK,accepted,Actinidia Lindl.,Actinidia sp.,Actinidia,Actinidiaceae,Ericales,マタタビ属,マタタビ科,ツツジ目,,,,,,3,液果,not found in GreenList; not found in YList
リョウブ,,Clethra barbinervis Siebold et Zucc.,EXACT,accepted,Clethra barbinervis Siebold & Zucc.,Clethra barbinervis,Clethra,Clethraceae,Ericales,リョウブ,リョウブ科,ツツジ目,4,4,1,4,4,3,さく果,use gbif name
リュウキュウマメガキ,,Diospyros japonica Siebold et Zucc.,EXACT,accepted,Diospyros japonica Siebold & Zucc.,Diospyros japonica,Diospyros,Ebenaceae,Ericales,リュウキュウマメガキ,カキノキ科,ツツジ目,4,4,1,4,4,3,液果,use gbif name
